CECO,DESCRIPCION_CECO,Año,Mes,NOMBRE_INDICADOR,INDICADOR
1524,TORRE COLPATRIA - SIST ELECTRI,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,8700"
1524,TORRE COLPATRIA - SIST ELECTRI,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,8700"
1524,TORRE COLPATRIA - SIST ELECTRI,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,8700"
1527,EDIFICIO SANTA MARIA PROG. Y P,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,9900"
1527,EDIFICIO SANTA MARIA PROG. Y P,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,9900"
1527,EDIFICIO SANTA MARIA PROG. Y P,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,9900"
1529,RECIBO NEOS VITRO 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"9,1800"
1529,RECIBO NEOS VITRO 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"9,1800"
1529,RECIBO NEOS VITRO 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"9,1800"
1531,E.P.S. SANITAS - PUENTE ARANDA,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"1,2600"
1531,E.P.S. SANITAS - PUENTE ARANDA,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"1,2600"
1531,E.P.S. SANITAS - PUENTE ARANDA,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"1,2600"
1533,EDIFICIO CALLE 81,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1533,EDIFICIO CALLE 81,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1533,EDIFICIO CALLE 81,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,7100"
1534,EDIFICIO CALLE 92,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"4,1800"
1534,EDIFICIO CALLE 92,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"4,1800"
1534,EDIFICIO CALLE 92,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"4,1800"
1535,MORARI 105,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1535,MORARI 105,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1535,MORARI 105,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1536,HOMECENTER TINTAL - 03,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1536,HOMECENTER TINTAL - 03,2019,marzo,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1536,HOMECENTER TINTAL - 03,2019,abril,ADM002-MULTIPLICADOR PROMEDIO,"0,0000"
1537,PARQUEADEROS ADICIONALES T7/T8,2019,febrero,ADM002-MULTIPLICADOR PROMEDIO,"4,4400"
